Country,Emissions,Reason,Production source
Philippines,10.36000001,Fugitive,Downstream gas
Romania,10.68000023,Vented,Downstream gas
Venezuela,38.11000061,Fugitive,Offshore gas
Ivory Coast,0,Vented,Onshore conventional oil
Argentina,0.269999994,Fugitive,Downstream oil
Azerbaijan,0,Incomplete-flare,Onshore conventional gas
Bahrain,0,Incomplete-flare,Offshore oil
Qatar,0,Incomplete-flare,Unconventional gas
Venezuela,32.75999832,Incomplete-flare,Unconventional oil
Ecuador,0,Vented,Unconventional gas
Iraq,2479.18997,Vented,Onshore conventional oil
Bolivia,0,Fugitive,Offshore oil
Italy,1.909999967,Fugitive,Onshore conventional gas
United States,1575.389984,Fugitive,Unconventional gas
Gabon,38.15999949,Vented,Offshore oil
Saudi Arabia,0.679999985,Fugitive,Downstream oil
Pakistan,0,Fugitive,Unconventional oil
Italy,0.310000006,Fugitive,Downstream oil
Brunei,0,Vented,Unconventional oil
Cuba,0.079999998,Fugitive,Downstream oil
Vietnam,0,Fugitive,Onshore conventional gas
Chad,0,Vented,Offshore gas
Yemen,0,Vented,Unconventional gas
Bolivia,0.680000007,Incomplete-flare,Onshore conventional oil
Egypt,0,Incomplete-flare,Offshore gas
Bangladesh,108.579998,Fugitive,Downstream gas
Germany,0.220000001,Fugitive,Onshore conventional oil
Peru,18.1500001,Fugitive,Onshore conventional gas
Malaysia,110.3200014,Vented,Offshore gas
Algeria,289.3800049,Incomplete-flare,Onshore conventional oil
Yemen,0.809999989,Vented,Downstream gas
Japan,2.610000044,Fugitive,Onshore conventional gas
Cameroon,0,Incomplete-flare,Unconventional oil
Canada,0,Vented,Offshore oil
Poland,0,Fugitive,Satellite-detected large emitters
Kuwait,0.129999997,Fugitive,Offshore gas
Egypt,0,Fugitive,Satellite-detected large emitters
Vietnam,0.210000001,Fugitive,Downstream oil
Mexico,20.12000084,Incomplete-flare,Onshore conventional oil
Kazakhstan,334.940005,Vented,Onshore conventional oil
Philippines,0,Vented,Onshore conventional gas
Mexico,17.61999989,Fugitive,Onshore conventional gas
Germany,0,Incomplete-flare,Offshore oil
Saudi Arabia,52.28000021,Fugitive,Onshore conventional gas
Uzbekistan,0,Fugitive,Unconventional gas
ROETE,1.290000036,Fugitive,Onshore conventional oil
Uzbekistan,0,Vented,Offshore oil
OASEAN9,0,Fugitive,Satellite-detected large emitters
Poland,0.069999998,Fugitive,Offshore oil
Ecuador,1.929999992,Vented,Offshore gas
Germany,0.469999995,Fugitive,Downstream oil
Iran,601.5199916,Vented,Downstream gas
Oman,0.32000001,Vented,Downstream oil
Thailand,22.1500001,Fugitive,Offshore gas
Australia,8.470000267,Incomplete-flare,Offshore oil
Cameroon,0,Incomplete-flare,Offshore gas
Ecuador,0,Incomplete-flare,Offshore oil
Bahrain,28.47999954,Fugitive,Onshore conventional gas
Denmark,0,Incomplete-flare,Onshore conventional gas
Azerbaijan,0,Fugitive,Satellite-detected large emitters
OEU17,0.079999998,Fugitive,Offshore oil
Chad,0,Vented,Unconventional oil
Ivory Coast,5.959999859,Fugitive,Downstream gas
Argentina,13.27000046,Incomplete-flare,Onshore conventional oil
Qatar,63.49999857,Fugitive,Downstream gas
Malaysia,0,Incomplete-flare,Onshore conventional gas
Libya,428.0399933,Fugitive,Downstream gas
OASEAN9,48.48000098,Vented,Offshore gas
Brunei,4.460000038,Incomplete-flare,Offshore oil
Brazil,47.26999951,Vented,Offshore gas
Australia,11.90999985,Incomplete-flare,Onshore conventional oil
Japan,0.369999994,Vented,Offshore gas
OASEAN9,0,Vented,Unconventional oil
Malaysia,0.210000001,Fugitive,Downstream oil
Algeria,0.310000006,Fugitive,Downstream oil
OEU17,0.519999981,Incomplete-flare,Onshore conventional oil
Venezuela,0,Incomplete-flare,Offshore gas
Kazakhstan,18.21000064,Vented,Offshore gas
Malaysia,0,Vented,Unconventional gas
United Kingdom,0,Incomplete-flare,Unconventional gas
Israel,0.33,Vented,Downstream oil
Brunei,0,Incomplete-flare,Offshore gas
